2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,917 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,918 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,919 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
